goos: linux
goarch: amd64
pkg: routerbench
cpu: 13th Gen Intel(R) Core(TM) i7-13700H
BenchmarkParallel/deep/httprouter-20                	10648630	        35.97 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2296483	       155.5 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2245503	       156.4 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2347300	       154.4 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2386467	       160.7 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2348874	       153.5 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/httprouter-http-20           	 2343901	       159.9 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/deep/gin-20                       	53362520	         9.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-20                       	48279867	         8.438 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-20                       	43311958	         8.626 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-20                       	45013470	         8.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-20                       	50734286	         8.221 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-20                       	48003372	         8.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	42772620	         8.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	45865714	         9.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	47473730	         8.903 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	47980359	         8.826 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	47613220	         8.777 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/gin-http-20                  	47914520	         8.831 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	40838073	         9.244 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	41834036	         9.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	41009811	         9.702 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	35820973	         9.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	42411188	         9.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-20                      	36967592	         9.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	38916225	         9.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	36981993	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	39320910	        10.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	36395082	        10.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	39301425	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/echo-http-20                 	40120110	        10.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2870665	       133.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2733295	       140.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2783239	       134.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2483340	       136.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2810796	       144.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-20                 	 2773891	       131.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-http-20            	 2683905	       131.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-http-20            	 2756820	       134.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-http-20            	 2750168	       131.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/deep/bunrouter-http-20            	 2250621	       134.4 ns/op	     416 B/op	       3 allocs/op
